word	start_time	end_time	raw_prominence	norm_prominence
lærte	710.550	710.850	7.593	1.000
meg	710.850	710.980	2.752	0.000
engelsk	710.980	711.460	4.010	0.260
på	713.510	713.620	1.031	0.000
fredag	713.620	714.090	9.529	1.000
lærte	714.090	714.390	6.116	0.598
jeg	714.390	714.450	1.425	0.046
meg	714.450	714.610	2.263	0.145
engelsk	714.610	715.070	2.998	0.231
siv	717.250	717.650	4.594	0.167
spiste	717.650	717.960	2.874	0.000
ikke	717.960	718.140	3.156	0.027
blåbærene	718.140	718.700	13.174	1.000
på	720.300	720.410	1.452	0.000
fredag	720.410	720.880	8.300	1.000
spiste	720.880	721.200	2.967	0.221
ikke	721.200	721.400	2.090	0.093
siv	721.400	721.800	4.403	0.431
blåbærene	721.800	722.410	7.250	0.847
vi	724.390	724.510	2.279	0.000
dukka	724.510	724.820	6.505	1.000
opp	724.820	724.890	2.986	0.167
på	724.890	725.040	2.692	0.098
festen	725.040	725.540	4.988	0.641
i	727.410	727.510	0.880	0.000
forfjor	727.510	728.110	12.508	1.000
dukka	728.110	728.390	5.002	0.355
vi	728.390	728.490	2.948	0.178
opp	728.490	728.580	3.017	0.184
på	728.580	728.730	1.475	0.051
festen	728.730	729.210	2.102	0.105
eline	731.630	732.020	9.986	1.000
snudde	732.020	732.330	4.091	0.287
seg	732.330	732.460	2.685	0.117
ikke	732.460	732.590	1.719	0.000
mot	732.590	732.790	2.895	0.142
publikum	732.790	733.360	5.501	0.458
i	734.510	734.600	1.043	0.000
forfjor	734.600	735.370	15.567	1.000
snudde	735.590	735.920	2.291	0.086
ikke	735.920	736.100	1.635	0.041
eline	736.100	736.410	4.573	0.243
seg	736.410	736.550	1.531	0.034
mot	736.550	736.740	1.618	0.040
publikum	736.740	737.250	3.744	0.186
johannes	739.270	739.850	6.549	1.000
skjenka	739.850	740.260	3.882	0.377
meg	740.260	740.390	2.270	0.000
to	740.390	740.600	2.885	0.144
glass	740.600	741.110	4.723	0.573
på	742.370	742.490	1.752	0.000
fredag	742.490	742.970	11.404	1.000
skjenka	742.970	743.340	4.745	0.310
johannes	743.340	743.760	6.550	0.497
meg	743.760	743.930	1.876	0.013
to	743.990	744.200	2.601	0.088
glass	744.200	744.560	3.054	0.135
vi	746.350	746.480	1.857	0.000
solgte	746.480	746.830	5.996	0.370
ikke	746.830	747.010	2.888	0.092
maleriene	747.010	747.620	13.031	1.000
i	749.440	749.540	0.932	0.000
forfjor	749.540	750.120	11.881	1.000
solgte	750.120	750.450	5.067	0.378
vi	750.450	750.550	1.456	0.048
ikke	750.550	751.110	6.655	0.523
maleriene	751.140	751.710	5.971	0.460
jens	753.810	754.140	5.626	1.000
skaffa	754.140	754.490	2.982	0.064
seg	754.490	754.630	2.803	0.000
hund	754.630	754.980	2.957	0.055
på	756.880	756.980	1.043	0.000
fredag	756.980	757.360	8.288	1.000
skaffa	757.360	757.740	4.855	0.526
jens	757.740	758.090	4.392	0.462
seg	758.090	758.210	1.605	0.078
hund	758.210	758.600	2.082	0.143
eline	761.080	761.470	6.932	0.538
leste	761.470	761.860	8.838	1.000
alltid	761.860	762.140	4.716	0.000
avisa	762.140	762.600	6.090	0.333
i	764.150	764.250	0.752	0.000
fjor	764.250	764.670	6.914	0.787
leste	764.670	765.010	4.701	0.504
alltid	765.010	765.680	8.586	1.000
eline	765.680	766.180	6.925	0.788
avisa	766.180	766.700	3.737	0.381
johannes	769.300	769.780	8.946	1.000
viste	769.780	770.110	4.081	0.124
meg	770.110	770.230	3.390	0.000
mange	770.230	770.530	6.326	0.528
bilder	770.530	770.880	8.200	0.866
på	772.420	772.510	0.846	0.000
fredag	772.510	772.970	10.423	1.000
viste	772.970	773.370	4.080	0.338
johannes	773.370	773.790	5.570	0.493
meg	773.790	774.050	3.744	0.303
mange	774.050	774.390	4.061	0.336
bilder	774.390	774.740	4.861	0.419
jeg	777.130	777.300	4.403	0.660
drakk	777.300	777.560	5.581	1.000
opp	777.560	777.700	2.118	0.000
all	777.700	777.890	5.192	0.888
saften	777.890	778.340	3.274	0.334
på	780.250	780.400	1.694	0.000
fredag	780.400	780.890	13.301	1.000
drakk	780.890	781.170	4.892	0.276
jeg	781.170	781.270	3.034	0.115
opp	781.270	781.420	2.655	0.083
all	781.420	781.590	5.215	0.303
saften	781.590	782.040	3.307	0.139
siv	784.510	784.900	3.212	0.000
kjørte	784.900	785.280	6.473	0.596
aldri	785.280	785.620	8.269	0.924
slalåm	785.620	786.030	8.687	1.000
i	787.380	787.480	0.746	0.000
fjor	787.480	787.850	4.656	0.621
kjørte	787.850	788.280	6.335	0.888
siv	788.280	788.670	3.814	0.488
aldri	788.700	789.030	6.110	0.852
slalåm	789.030	789.530	7.038	1.000
johannes	791.330	791.780	8.781	1.000
følte	791.780	792.060	4.842	0.450
seg	792.060	792.160	2.313	0.096
ikke	792.160	792.300	1.623	0.000
helt	792.300	792.550	4.387	0.386
frisk	792.550	793.070	3.159	0.215
på	794.500	794.610	1.141	0.018
fredag	794.610	795.060	10.224	1.000
følte	795.110	795.390	3.483	0.271
ikke	795.390	795.520	0.977	0.000
johannes	795.520	795.890	5.757	0.517
seg	795.890	796.020	1.676	0.076
helt	796.020	796.250	3.202	0.241
frisk	796.250	796.840	2.868	0.204
jens	798.550	798.920	5.150	1.000
dukka	798.920	799.230	4.882	0.928
opp	799.230	799.270	1.445	0.000
på	799.270	799.420	2.108	0.179
festen	799.420	799.850	3.392	0.526
i	801.730	801.820	1.030	0.000
forgårs	801.820	802.380	9.827	1.000
dukka	802.380	802.650	3.709	0.305
jens	802.650	802.950	6.073	0.573
opp	802.950	803.060	1.284	0.029
på	803.060	803.230	1.375	0.039
festen	803.230	803.700	2.287	0.143
eline	805.710	806.060	7.732	1.000
mista	806.060	806.360	4.501	0.097
alltid	806.360	806.620	4.955	0.224
bussen	806.620	807.080	4.152	0.000
som	808.700	808.960	2.626	0.166
barn	808.960	809.250	7.289	1.000
mista	809.250	809.570	3.171	0.263
alltid	809.570	809.980	5.077	0.604
eline	809.980	810.400	5.389	0.660
bussen	810.400	810.840	1.698	0.000
vi	812.700	812.850	1.934	0.000
forta	812.850	813.250	8.474	1.000
oss	813.250	813.370	2.584	0.099
hjem	813.370	813.730	5.363	0.524
i	815.640	815.750	1.279	0.000
forfjor	815.750	816.300	10.111	1.000
forta	816.300	816.660	3.877	0.294
vi	816.660	816.770	3.801	0.286
oss	816.770	816.960	3.169	0.214
hjem	816.960	817.310	4.886	0.408
jeg	820.280	820.430	2.849	0.107
vanna	820.430	820.720	8.053	1.000
ikke	820.720	820.910	2.228	0.000
plantene	820.910	821.430	5.114	0.495
i	823.450	823.530	0.764	0.000
forfjor	823.530	824.050	9.159	1.000
vanna	824.050	824.390	6.243	0.653
jeg	824.390	824.510	1.999	0.147
ikke	824.510	824.690	1.147	0.046
plantene	824.690	825.190	3.497	0.325
jens	827.840	828.230	5.480	0.539
ga	828.230	828.510	7.414	0.846
opp	828.510	828.690	2.073	0.000
under	828.690	828.810	2.301	0.036
eksamen	828.810	829.360	8.388	1.000
i	830.620	830.710	1.055	0.000
forgårs	830.710	831.460	12.342	1.000
ga	831.460	831.840	8.166	0.630
jens	831.840	832.190	5.452	0.390
opp	832.190	832.450	2.208	0.102
under	832.450	832.680	2.739	0.149
eksamen	832.680	833.180	3.958	0.257
eline	835.290	835.650	8.307	1.000
spiste	835.650	836.070	4.239	0.000
aldri	836.070	836.400	7.142	0.714
dessert	836.400	836.840	7.040	0.689
som	838.210	838.400	2.963	0.053
ung	838.400	838.630	3.820	0.165
spiste	838.630	839.020	2.556	0.000
aldri	839.020	839.420	10.212	1.000
eline	839.420	839.870	7.633	0.663
dessert	839.870	840.340	5.841	0.429
jeg	842.150	842.310	4.452	0.451
leste	842.310	842.620	7.055	1.000
ikke	842.620	842.800	2.311	0.000
nyhetene	842.800	843.340	5.396	0.650
i	845.260	845.330	0.859	0.000
forgårs	845.330	845.990	12.448	1.000
leste	845.990	846.300	5.204	0.375
jeg	846.300	846.370	1.987	0.097
ikke	846.370	846.530	2.204	0.116
nyhetene	846.530	847.080	6.429	0.481
siv	849.070	849.510	4.042	0.479
skjenka	849.510	849.880	4.127	0.512
meg	849.880	850.010	2.813	0.000
to	850.010	850.280	2.864	0.020
glass	850.280	850.850	5.378	1.000
på	852.060	852.170	1.590	0.000
fredag	852.170	852.810	12.026	1.000
skjenka	852.810	853.150	3.969	0.228
siv	853.150	853.560	4.293	0.259
meg	853.560	853.700	2.521	0.089
to	853.770	853.970	2.933	0.129
glass	853.970	854.480	3.853	0.217
jens	856.490	856.910	4.749	0.243
kjøpte	856.910	857.240	3.226	0.056
seg	857.240	857.370	2.776	0.000
bobil	857.370	857.880	10.882	1.000
på	859.580	859.740	1.105	0.000
fredag	859.740	860.320	10.484	1.000
kjøpte	860.320	860.690	2.628	0.162
jens	860.690	861.020	4.374	0.349
seg	861.020	861.130	1.645	0.058
bobil	861.130	861.660	6.630	0.589
johannes	863.370	863.820	8.479	1.000
drakk	863.820	864.080	3.719	0.251
opp	864.080	864.210	2.126	0.000
all	864.210	864.380	4.682	0.402
saften	864.380	864.860	3.289	0.183
i	866.470	866.580	1.633	0.000
forgårs	866.580	867.140	11.500	1.000
drakk	867.140	867.420	4.274	0.268
johannes	867.420	867.820	4.982	0.339
opp	867.820	868.020	2.218	0.059
all	868.130	868.320	3.993	0.239
saften	868.320	868.800	2.821	0.120
siv	870.410	870.900	6.422	0.646
spilte	870.900	871.250	4.457	0.323
ikke	871.250	871.440	2.492	0.000
sangene	871.440	871.910	8.578	1.000
i	873.550	873.620	0.751	0.000
forfjor	873.620	874.170	9.413	1.000
spilte	874.170	874.550	3.402	0.306
ikke	874.550	874.740	2.215	0.169
siv	874.740	875.110	4.352	0.416
sangene	875.110	875.580	5.642	0.565
vi	877.150	877.300	2.058	0.000
mista	877.300	877.670	5.752	1.000
alltid	877.670	877.970	4.650	0.702
bussen	877.970	878.420	4.559	0.677
i	880.180	880.310	1.390	0.000
fjor	880.310	880.620	6.614	0.791
mista	880.620	880.940	4.674	0.497
vi	880.940	881.070	4.788	0.514
alltid	881.070	881.430	7.998	1.000
bussen	881.430	881.870	4.727	0.505
johannes	883.930	884.550	7.225	0.925
kjørte	884.550	884.900	4.419	0.000
aldri	884.900	885.200	6.647	0.734
slalåm	885.200	885.620	7.453	1.000
i	887.290	887.380	1.149	0.000
fjor	887.380	887.660	4.932	0.512
kjørte	887.660	888.060	6.337	0.702
johannes	888.060	888.550	6.977	0.789
aldri	888.550	888.860	4.346	0.433
slalåm	888.860	889.310	8.534	1.000
siv	891.060	891.510	3.324	0.479
vanna	891.510	891.890	5.914	1.000
ikke	891.920	892.060	0.939	0.000
plantene	892.060	892.570	3.919	0.599
i	893.940	894.030	1.191	0.000
forgårs	894.030	894.550	10.770	1.000
vanna	894.550	894.850	5.395	0.439
ikke	894.850	895.010	1.512	0.034
siv	895.010	895.360	4.996	0.397
plantene	895.390	895.890	4.645	0.361
jens	897.840	898.200	4.050	0.409
holdt	898.200	898.490	4.078	0.416
ut	898.490	898.650	2.528	0.000
hele	898.650	898.930	6.252	1.000
kampen	898.930	899.430	5.444	0.783
på	900.960	901.090	0.970	0.000
fredag	901.090	901.520	9.830	1.000
holdt	901.520	901.820	4.341	0.380
jens	901.820	902.170	3.379	0.272
ut	902.170	902.390	2.643	0.189
hele	902.390	902.710	4.954	0.450
kampen	902.710	903.130	3.420	0.277
eline	904.950	905.320	9.869	1.000
dukka	905.320	905.620	6.214	0.548
opp	905.620	905.680	2.237	0.057
på	905.680	905.810	1.774	0.000
festen	905.810	906.260	3.291	0.187
på	907.920	908.500	12.898	0.723
fredag	908.580	909.330	17.349	1.000
dukka	909.580	909.710	1.388	0.006
eline	909.710	909.930	3.689	0.150
opp	909.930	910.010	1.333	0.003
på	910.010	910.180	1.288	0.000
festen	910.180	910.580	1.763	0.030
johannes	912.880	913.310	8.431	0.976
spilte	913.310	913.660	5.237	0.000
alltid	913.660	914.000	7.473	0.683
ludo	914.000	914.390	8.509	1.000
som	916.040	916.190	1.373	0.000
ung	916.350	916.500	2.885	0.285
spilte	916.500	916.920	4.809	0.647
alltid	916.920	917.280	6.682	1.000
johannes	917.280	917.770	5.823	0.838
ludo	917.770	918.160	4.669	0.621
vi	919.680	919.820	2.164	0.041
spilte	919.820	920.180	4.700	0.725
ikke	920.180	920.360	2.010	0.000
sangene	920.360	920.800	5.720	1.000
på	922.650	922.710	0.523	0.000
fredag	922.710	923.100	9.281	1.000
spilte	923.100	923.420	4.378	0.440
vi	923.420	923.490	0.685	0.018
ikke	923.490	923.670	2.354	0.209
sangene	923.670	924.120	5.116	0.524
eline	926.580	926.940	9.342	1.000
skaffa	926.940	927.280	4.006	0.123
seg	927.280	927.450	3.780	0.086
hund	927.450	927.840	3.258	0.000
i	929.710	929.810	1.032	0.000
forgårs	929.810	930.350	10.820	1.000
skaffa	930.350	930.760	4.778	0.383
eline	930.760	931.110	6.876	0.597
seg	931.110	931.250	1.705	0.069
hund	931.250	931.600	2.495	0.149
jens	933.340	933.830	5.663	0.533
satte	933.830	934.140	3.304	0.205
seg	934.140	934.250	1.825	0.000
ikke	934.250	934.390	2.146	0.044
bakerst	934.390	935.050	9.031	1.000
på	936.530	936.680	1.642	0.000
fredag	936.680	937.190	11.655	1.000
satte	937.190	937.490	2.436	0.080
ikke	937.490	937.760	3.229	0.159
jens	937.760	938.060	5.110	0.347
seg	938.060	938.170	1.638	0.000
bakerst	938.170	938.840	5.613	0.397
jeg	940.400	940.700	7.611	1.000
bakte	940.700	940.980	3.324	0.202
ikke	940.980	941.200	2.237	0.000
kakene	941.200	941.740	5.956	0.692
i	943.610	943.710	1.184	0.000
forgårs	943.710	944.320	12.842	1.000
bakte	944.320	944.650	4.251	0.263
jeg	944.650	944.690	1.637	0.039
ikke	944.690	944.850	1.691	0.044
kakene	944.850	945.390	7.187	0.515
eline	947.270	947.640	8.972	1.000
ga	947.640	947.870	7.400	0.790
opp	947.870	948.010	1.469	0.000
under	948.010	948.200	2.997	0.204
eksamen	948.200	948.770	6.415	0.659
på	950.510	950.620	1.478	0.000
fredag	950.620	951.030	9.230	0.986
ga	951.030	951.370	9.343	1.000
eline	951.370	951.660	7.167	0.723
opp	951.660	951.880	2.546	0.136
under	951.880	952.060	3.462	0.252
eksamen	952.060	952.590	7.392	0.752
siv	954.690	955.110	5.729	0.757
gikk	955.110	955.310	3.090	0.106
ut	955.310	955.590	4.140	0.365
etter	955.590	955.760	2.661	0.000
jobb	955.760	956.060	6.712	1.000
på	957.690	957.830	1.135	0.000
fredag	957.830	958.200	8.816	1.000
gikk	958.200	958.530	5.129	0.520
siv	958.530	958.930	3.344	0.288
ut	958.930	959.210	2.312	0.153
etter	959.210	959.410	2.020	0.115
jobb	959.410	959.600	3.933	0.364
jeg	961.420	961.620	3.968	0.000
leste	961.620	961.960	8.085	1.000
alltid	961.960	962.320	5.991	0.491
avisa	962.320	962.810	6.346	0.578
i	964.780	964.830	0.706	0.000
fjor	964.830	965.200	5.769	0.760
leste	965.200	965.530	5.381	0.702
jeg	965.530	965.580	1.593	0.133
alltid	965.580	965.920	5.833	0.770
avisa	965.920	966.440	7.367	1.000
eline	968.380	968.740	9.175	1.000
kjøpte	968.740	969.010	2.394	0.000
ikke	969.010	969.190	2.674	0.041
bøkene	969.190	969.630	7.462	0.747
i	971.430	971.510	0.783	0.000
forgårs	971.510	972.010	11.013	1.000
kjøpte	972.010	972.290	1.515	0.071
ikke	972.290	972.460	1.244	0.045
eline	972.460	972.810	6.917	0.600
bøkene	972.810	973.270	4.801	0.393
jens	975.090	975.470	4.105	0.372
lærte	975.470	975.800	5.899	1.000
seg	975.800	975.950	3.376	0.117
engelsk	975.950	976.570	3.043	0.000
i	978.200	978.250	0.891	0.000
forfjor	978.250	978.810	11.507	1.000
lærte	978.810	979.240	10.180	0.875
jens	979.240	979.510	5.395	0.424
seg	979.510	979.660	1.972	0.102
engelsk	979.660	980.290	2.890	0.188
jeg	982.400	982.570	4.355	0.000
lekte	982.570	982.890	5.661	0.285
aldri	982.890	983.220	8.929	1.000
brannmann	983.220	983.700	7.066	0.593
som	985.690	985.920	2.751	0.113
ung	985.920	986.180	4.427	0.267
lekte	986.180	986.510	4.072	0.235
jeg	986.510	986.540	1.525	0.000
aldri	986.540	986.960	12.379	1.000
brannmann	986.960	987.410	7.651	0.564
johannes	989.550	990.030	9.113	1.000
gikk	990.030	990.200	2.322	0.000
ut	990.200	990.470	3.460	0.168
etter	990.470	990.660	3.335	0.149
jobb	990.660	990.980	6.884	0.672
på	992.650	992.790	1.431	0.000
fredag	992.790	993.250	9.938	1.000
gikk	993.250	993.450	2.345	0.107
johannes	993.450	993.940	4.785	0.394
ut	993.940	994.200	1.902	0.055
etter	994.200	994.400	2.324	0.105
jobb	994.400	994.700	4.904	0.408
eline	996.550	996.900	8.667	1.000
bakte	996.900	997.190	3.238	0.264
ikke	997.190	997.380	1.289	0.000
kakene	997.380	997.900	8.119	0.926
i	999.740	999.800	0.549	0.000
forfjor	999.800	1000.290	9.616	1.000
bakte	1000.290	1000.560	2.821	0.251
ikke	1000.560	1000.750	1.701	0.127
eline	1000.750	1001.060	6.487	0.655
kakene	1001.060	1001.560	7.078	0.720
siv	1003.550	1003.930	4.502	0.357
snudde	1003.930	1004.270	4.647	0.378
seg	1004.270	1004.390	2.010	0.000
ikke	1004.390	1004.540	2.641	0.090
mot	1004.540	1004.730	4.177	0.311
publikum	1004.730	1005.310	8.987	1.000
i	1006.710	1006.810	1.047	0.015
forgårs	1006.810	1007.320	11.237	1.000
så	1007.320	1007.430	0.894	0.000
snudde	1007.430	1007.730	3.147	0.218
ikke	1007.730	1007.910	2.097	0.116
siv	1007.910	1008.160	2.524	0.158
seg	1008.160	1008.290	1.571	0.066
mot	1008.290	1008.470	2.366	0.142
publikum	1008.470	1009.060	4.188	0.318
